0 0 0 8/11 1/2 4/11 3/11 12/11 17/22 17/22 10/11 17/11 0
0 0 0 2/3 11/24 1/3 1/6 1 17/24 3/4 25/24 17/12 0
0 0 0 8/11 4/11 3/11 2/11 14/11 9/11 6/11 29/22 21/11 0
0 0 0 3/5 7/20 3/10 1/10 11/10 3/4 3/5 7/5 17/10 0
0 0 0 7/12 1/3 1/4 1/6 5/4 5/6 1/2 17/12 2 0
0 0 0 1/2 7/20 3/10 1/10 11/10 4/5 3/5 3/2 9/5 0
0 0 0 10/13 7/13 11/26 9/26 12/13 25/26 29/26 17/13 41/26 0
0 0 0 8/11 9/22 7/22 5/22 10/11 8/11 17/22 13/11 29/22 0
0 0 0 5/6 29/72 23/72 17/72 1 55/72 29/36 41/36 31/24 0
0 0 0 8/11 3/11 5/22 3/22 1 8/11 6/11 3/2 17/11 0
0 0 0 11/13 10/39 17/78 11/78 14/13 19/26 43/78 109/78 19/13 0
0 0 0 3/5 2/5 3/10 1/5 9/10 3/5 13/20 6/5 13/10 0
0 0 0 5/9 5/18 2/9 1/9 1 11/18 4/9 14/9 14/9 0
0 0 0 4/9 5/18 2/9 1/9 1 2/3 4/9 5/3 5/3 0
0 0 0 12/13 10/13 9/13 7/13 14/13 14/13 15/13 9/13 20/13 0
0 0 0 8/9 7/9 13/18 4/9 1 1 10/9 5/6 25/18 0
0 0 0 11/12 2/3 7/12 5/12 13/12 11/12 11/12 17/24 17/12 0
0 0 0 8/9 2/3 11/18 1/3 1 5/6 8/9 5/6 23/18 0
0 0 0 1 25/36 11/18 4/9 7/6 35/36 35/36 49/72 17/12 0
0 0 0 1 19/27 35/54 10/27 10/9 49/54 26/27 43/54 23/18 0
0 0 0 14/15 7/15 2/5 4/15 6/5 13/15 3/5 16/15 5/3 0
0 0 0 9/10 1/2 9/20 1/5 11/10 4/5 3/5 6/5 3/2 0
0 0 0 1 11/24 19/48 13/48 5/4 7/8 29/48 25/24 13/8 0
0 0 0 1 16/33 29/66 7/33 13/11 9/11 20/33 38/33 16/11 0
0 0 0 9/11 7/11 6/11 4/11 12/11 9/11 9/11 9/11 16/11 0
0 0 0 7/9 11/18 5/9 5/18 1 13/18 7/9 17/18 4/3 0
0 0 0 5/6 1/2 5/12 1/4 5/4 5/6 7/12 7/6 7/4 0
0 0 0 7/9 1/2 4/9 1/6 10/9 13/18 5/9 23/18 14/9 0
0 0 0 9/13 6/13 5/13 3/13 16/13 11/13 7/13 33/26 24/13 0
0 0 0 2/3 1/2 4/9 1/6 10/9 7/9 5/9 25/18 5/3 0
0 0 0 7/9 2/3 11/18 4/9 8/9 8/9 1 17/18 23/18 0
0 0 0 7/9 5/9 1/2 1/3 8/9 13/18 7/9 17/18 7/6 0
0 0 0 8/9 16/27 29/54 10/27 1 43/54 23/27 49/54 7/6 0
0 0 0 4/5 2/5 7/20 1/5 1 7/10 1/2 13/10 7/5 0
0 0 0 10/11 13/33 23/66 7/33 12/11 8/11 17/33 41/33 15/11 0
0 0 0 2/3 1/2 4/9 5/18 8/9 11/18 2/3 19/18 11/9 0
0 0 0 2/3 7/18 1/3 1/6 1 11/18 4/9 25/18 13/9 0
0 0 0 5/9 7/18 1/3 1/6 1 2/3 4/9 3/2 14/9 0
